text,label,sentiment,urgency,resolution_status
Why is my order status still pending?,account_issue,neutral,low,pending
"I received a wrong item, can I exchange it?",order_issue,neutral,high,resolved
How do I change my delivery address?,technical_support,neutral,high,pending
How do I reset my password?,account_issue,positive,low,pending
Can I speak to a human agent?,service_issue,positive,high,pending
How do I return an item I purchased?,refund,positive,medium,unresolved
I want to cancel my subscription.,tracking,negative,low,pending
"My payment failed, what should I do?",order_issue,positive,low,pending
I need help updating my account details.,subscription,negative,high,unresolved
Can I get a refund for my last purchase?,refund,neutral,medium,unresolved
My login credentials are not working.,human_agent,positive,low,unresolved
Can I speak to a human agent?,technical_support,positive,low,pending
I was charged incorrectly on my bill.,wrong_item,negative,high,unresolved
"My mobile app keeps crashing, can you fix it?",account_issue,neutral,medium,unresolved
How do I return an item I purchased?,discount,neutral,medium,unresolved
"My payment failed, what should I do?",refund,negative,low,pending
Can I get a refund for my last purchase?,login_issue,neutral,low,unresolved
I am unable to track my package.,returns,neutral,high,resolved
How do I return an item I purchased?,upgrade,neutral,medium,unresolved
How do I change my delivery address?,app_crash,neutral,medium,pending
Can I upgrade my current subscription plan?,billing,positive,medium,resolved
Can I upgrade my current subscription plan?,discount,positive,low,pending
Can I upgrade my current subscription plan?,human_agent,positive,high,resolved
How do I reset my password?,returns,negative,high,pending
I want to cancel my subscription.,billing,positive,low,pending
Why is my order status still pending?,refund,positive,medium,pending
I want to cancel my subscription.,payment_issue,neutral,high,resolved
I want to cancel my subscription.,account_issue,neutral,high,resolved
How do I reset my password?,login_issue,neutral,high,pending
The customer service number is not working.,wrong_item,positive,medium,resolved
Can I upgrade my current subscription plan?,wrong_item,negative,low,unresolved
"My mobile app keeps crashing, can you fix it?",wrong_item,negative,medium,unresolved
Do you offer discounts for students?,app_crash,negative,low,resolved
I am unable to track my package.,account_issue,neutral,high,resolved
I need help updating my account details.,service_issue,negative,low,resolved
"My payment failed, what should I do?",refund,positive,high,unresolved
How do I reset my password?,upgrade,positive,medium,pending
"I received a wrong item, can I exchange it?",app_crash,neutral,low,resolved
My order has not arrived yet.,login_issue,neutral,medium,unresolved
My order has not arrived yet.,technical_support,negative,low,unresolved
The customer service number is not working.,order_status,positive,high,pending
I need help updating my account details.,wrong_item,negative,low,resolved
I was charged incorrectly on my bill.,returns,negative,medium,unresolved
The customer service number is not working.,login_issue,neutral,medium,resolved
I am unable to track my package.,order_status,negative,low,pending
Can I get a refund for my last purchase?,account_issue,neutral,low,resolved
My order has not arrived yet.,login_issue,positive,low,pending
Do you offer discounts for students?,login_issue,negative,low,resolved
How do I reset my password?,account_update,neutral,low,pending
I was charged incorrectly on my bill.,service_issue,positive,medium,resolved
How do I reset my password?,human_agent,positive,medium,resolved
Can I speak to a human agent?,discount,neutral,low,resolved
I was charged incorrectly on my bill.,login_issue,positive,high,unresolved
The internet connection is too slow.,refund,negative,medium,unresolved
My order has not arrived yet.,order_status,negative,high,unresolved
"I received a wrong item, can I exchange it?",human_agent,positive,medium,resolved
I am unable to track my package.,wrong_item,neutral,medium,unresolved
My login credentials are not working.,returns,negative,medium,unresolved
How do I return an item I purchased?,account_update,negative,high,unresolved
"I received a wrong item, can I exchange it?",technical_support,neutral,high,pending
My login credentials are not working.,service_issue,neutral,medium,pending
Can I get a refund for my last purchase?,account_issue,negative,low,resolved
The internet connection is too slow.,order_status,neutral,medium,unresolved
My login credentials are not working.,tracking,negative,low,unresolved
I want to cancel my subscription.,technical_support,negative,low,pending
"My payment failed, what should I do?",technical_support,neutral,high,resolved
Can I speak to a human agent?,order_issue,negative,low,resolved
I am unable to track my package.,refund,neutral,medium,resolved
Can I speak to a human agent?,login_issue,negative,low,resolved
"I received a wrong item, can I exchange it?",refund,negative,medium,pending
How do I change my delivery address?,order_status,neutral,high,resolved
"My payment failed, what should I do?",human_agent,neutral,low,pending
How do I reset my password?,human_agent,negative,medium,unresolved
How do I return an item I purchased?,order_issue,positive,high,resolved
Do you offer discounts for students?,service_issue,neutral,high,resolved
"I received a wrong item, can I exchange it?",billing,neutral,medium,pending
"My payment failed, what should I do?",order_status,neutral,high,pending
"My credit card was declined, what now?",tracking,negative,low,pending
Can I get a refund for my last purchase?,upgrade,positive,high,pending
How do I reset my password?,returns,positive,high,unresolved
How do I return an item I purchased?,payment_issue,neutral,low,pending
My order has not arrived yet.,refund,neutral,medium,resolved
"My mobile app keeps crashing, can you fix it?",discount,neutral,high,pending
The internet connection is too slow.,login_issue,neutral,low,pending
"My mobile app keeps crashing, can you fix it?",service_issue,negative,low,unresolved
My login credentials are not working.,order_issue,negative,low,pending
I want to cancel my subscription.,account_update,negative,high,unresolved
How do I reset my password?,returns,positive,high,unresolved
"My credit card was declined, what now?",discount,negative,medium,resolved
The customer service number is not working.,order_status,positive,high,unresolved
Can I speak to a human agent?,refund,neutral,medium,pending
Can I get a refund for my last purchase?,wrong_item,positive,low,unresolved
"I received a wrong item, can I exchange it?",refund,neutral,high,pending
Can I get a refund for my last purchase?,order_status,positive,high,unresolved
Do you offer discounts for students?,app_crash,positive,low,unresolved
The internet connection is too slow.,account_update,positive,low,unresolved
My order has not arrived yet.,order_status,positive,high,pending
I need help updating my account details.,billing,positive,low,pending
I was charged incorrectly on my bill.,discount,negative,medium,resolved
My order has not arrived yet.,account_update,negative,medium,resolved
Can I get a refund for my last purchase?,delivery,positive,medium,unresolved
My order has not arrived yet.,returns,neutral,medium,resolved
Can I upgrade my current subscription plan?,discount,positive,medium,unresolved
How do I reset my password?,delivery,neutral,low,unresolved
I was charged incorrectly on my bill.,order_issue,neutral,high,unresolved
Do you offer discounts for students?,order_issue,positive,medium,pending
I was charged incorrectly on my bill.,wrong_item,positive,low,resolved
I want to cancel my subscription.,wrong_item,neutral,medium,pending
My order has not arrived yet.,upgrade,negative,low,unresolved
I am unable to track my package.,card_declined,positive,high,pending
"My credit card was declined, what now?",service_issue,positive,low,unresolved
The customer service number is not working.,wrong_item,neutral,low,pending
Can I speak to a human agent?,technical_support,positive,high,unresolved
How do I reset my password?,upgrade,positive,medium,unresolved
The internet connection is too slow.,technical_support,neutral,low,resolved
I need help updating my account details.,card_declined,positive,high,pending
How do I reset my password?,delivery,negative,high,pending
How do I change my delivery address?,upgrade,positive,medium,pending
How do I return an item I purchased?,returns,positive,medium,pending
My login credentials are not working.,login_issue,negative,high,unresolved
Can I upgrade my current subscription plan?,technical_support,positive,high,unresolved
I need help updating my account details.,account_update,negative,high,unresolved
I need help updating my account details.,upgrade,positive,high,pending
I want to cancel my subscription.,technical_support,positive,medium,resolved
Can I upgrade my current subscription plan?,discount,positive,high,unresolved
"My payment failed, what should I do?",delivery,neutral,low,unresolved
My order has not arrived yet.,order_status,positive,medium,resolved
I want to cancel my subscription.,human_agent,neutral,medium,pending
"My mobile app keeps crashing, can you fix it?",returns,positive,high,unresolved
I want to cancel my subscription.,account_issue,neutral,medium,resolved
My login credentials are not working.,returns,positive,medium,resolved
I was charged incorrectly on my bill.,order_issue,neutral,medium,pending
The customer service number is not working.,human_agent,neutral,low,resolved
"I received a wrong item, can I exchange it?",card_declined,negative,medium,pending
"My payment failed, what should I do?",returns,negative,medium,unresolved
Can I upgrade my current subscription plan?,subscription,neutral,high,pending
"I received a wrong item, can I exchange it?",app_crash,positive,medium,unresolved
How do I change my delivery address?,wrong_item,positive,medium,unresolved
"I received a wrong item, can I exchange it?",account_issue,neutral,high,pending
The internet connection is too slow.,wrong_item,positive,high,resolved
The customer service number is not working.,wrong_item,negative,high,pending
The customer service number is not working.,delivery,neutral,high,pending
My login credentials are not working.,account_issue,negative,medium,resolved
"My mobile app keeps crashing, can you fix it?",upgrade,negative,high,pending
I need help updating my account details.,billing,neutral,medium,unresolved
Why is my order status still pending?,wrong_item,negative,high,resolved
I want to cancel my subscription.,login_issue,positive,low,resolved
I am unable to track my package.,account_issue,positive,high,pending
How do I reset my password?,technical_support,positive,high,pending
"My payment failed, what should I do?",payment_issue,positive,medium,unresolved
I need help updating my account details.,delivery,neutral,high,resolved
Do you offer discounts for students?,upgrade,negative,low,pending
"My credit card was declined, what now?",returns,neutral,high,unresolved
"I received a wrong item, can I exchange it?",subscription,negative,medium,resolved
The customer service number is not working.,upgrade,neutral,medium,unresolved
How do I change my delivery address?,upgrade,neutral,high,pending
My order has not arrived yet.,billing,neutral,medium,resolved
I am unable to track my package.,login_issue,positive,medium,resolved
I am unable to track my package.,app_crash,neutral,low,unresolved
The customer service number is not working.,payment_issue,negative,high,pending
The internet connection is too slow.,refund,neutral,low,pending
I need help updating my account details.,login_issue,positive,low,pending
Can I speak to a human agent?,discount,positive,low,unresolved
My login credentials are not working.,wrong_item,neutral,high,resolved
Why is my order status still pending?,technical_support,negative,medium,resolved
My order has not arrived yet.,upgrade,neutral,low,pending
The internet connection is too slow.,order_status,neutral,medium,unresolved
My order has not arrived yet.,payment_issue,positive,high,pending
I want to cancel my subscription.,service_issue,neutral,low,pending
The customer service number is not working.,delivery,positive,low,pending
The customer service number is not working.,payment_issue,neutral,medium,unresolved
Can I upgrade my current subscription plan?,subscription,neutral,medium,unresolved
The customer service number is not working.,discount,negative,high,pending
How do I reset my password?,subscription,positive,medium,resolved
Do you offer discounts for students?,account_issue,positive,low,resolved
"My mobile app keeps crashing, can you fix it?",delivery,positive,low,unresolved
Why is my order status still pending?,payment_issue,positive,high,pending
How do I reset my password?,wrong_item,neutral,high,unresolved
"My payment failed, what should I do?",returns,positive,high,unresolved
I want to cancel my subscription.,card_declined,neutral,medium,unresolved
Why is my order status still pending?,login_issue,neutral,medium,pending
My order has not arrived yet.,wrong_item,positive,low,pending
Can I get a refund for my last purchase?,discount,neutral,low,pending
Why is my order status still pending?,returns,positive,low,resolved
How do I change my delivery address?,upgrade,neutral,medium,pending
Can I get a refund for my last purchase?,billing,positive,medium,unresolved
Why is my order status still pending?,account_issue,positive,medium,pending
"My payment failed, what should I do?",discount,neutral,medium,pending
How do I reset my password?,order_issue,neutral,medium,resolved
Do you offer discounts for students?,order_issue,negative,high,unresolved
I need help updating my account details.,upgrade,neutral,medium,resolved
How do I reset my password?,technical_support,positive,medium,unresolved
My login credentials are not working.,discount,neutral,high,unresolved
Can I get a refund for my last purchase?,returns,neutral,low,unresolved
Why is my order status still pending?,billing,neutral,medium,resolved
"I received a wrong item, can I exchange it?",card_declined,positive,medium,pending
Can I upgrade my current subscription plan?,returns,positive,medium,resolved
My login credentials are not working.,refund,negative,low,pending
My login credentials are not working.,order_status,positive,medium,resolved
Why is my order status still pending?,upgrade,positive,low,unresolved
How do I return an item I purchased?,tracking,positive,high,pending
"I received a wrong item, can I exchange it?",refund,positive,high,resolved
My order has not arrived yet.,login_issue,positive,low,unresolved
"My payment failed, what should I do?",billing,negative,low,resolved
"My mobile app keeps crashing, can you fix it?",billing,negative,medium,resolved
I need help updating my account details.,upgrade,neutral,medium,resolved
"My credit card was declined, what now?",app_crash,negative,high,unresolved
"My credit card was declined, what now?",returns,negative,high,unresolved
"I received a wrong item, can I exchange it?",human_agent,positive,high,pending
My login credentials are not working.,subscription,negative,low,unresolved
How do I return an item I purchased?,order_issue,negative,medium,pending
How do I change my delivery address?,upgrade,negative,high,pending
"I received a wrong item, can I exchange it?",account_issue,negative,high,pending
Why is my order status still pending?,wrong_item,neutral,low,resolved
I need help updating my account details.,wrong_item,negative,medium,pending
"My mobile app keeps crashing, can you fix it?",service_issue,negative,low,pending
How do I reset my password?,card_declined,negative,high,unresolved
Can I upgrade my current subscription plan?,discount,positive,high,resolved
My login credentials are not working.,account_issue,negative,medium,pending
I am unable to track my package.,discount,negative,medium,resolved
The customer service number is not working.,refund,positive,low,unresolved
"My mobile app keeps crashing, can you fix it?",subscription,negative,medium,resolved
I am unable to track my package.,login_issue,positive,medium,pending
"I received a wrong item, can I exchange it?",payment_issue,neutral,high,unresolved
"My mobile app keeps crashing, can you fix it?",account_update,positive,high,resolved
"My credit card was declined, what now?",refund,negative,medium,resolved
"My payment failed, what should I do?",returns,neutral,high,resolved
How do I return an item I purchased?,account_issue,negative,high,unresolved
Can I get a refund for my last purchase?,billing,neutral,medium,resolved
"My credit card was declined, what now?",billing,negative,low,resolved
Why is my order status still pending?,refund,negative,high,resolved
How do I reset my password?,delivery,neutral,medium,pending
Do you offer discounts for students?,returns,negative,medium,pending
I was charged incorrectly on my bill.,order_issue,neutral,high,pending
"My mobile app keeps crashing, can you fix it?",login_issue,negative,low,unresolved
Can I get a refund for my last purchase?,app_crash,positive,medium,unresolved
"My payment failed, what should I do?",tracking,negative,high,unresolved
Can I upgrade my current subscription plan?,account_issue,negative,high,resolved
The internet connection is too slow.,login_issue,positive,high,pending
Can I speak to a human agent?,technical_support,negative,medium,resolved
Can I speak to a human agent?,upgrade,negative,high,pending
I was charged incorrectly on my bill.,service_issue,neutral,medium,pending
Can I get a refund for my last purchase?,billing,neutral,low,unresolved
Do you offer discounts for students?,account_update,neutral,low,unresolved
"I received a wrong item, can I exchange it?",wrong_item,neutral,high,pending
Why is my order status still pending?,tracking,positive,low,unresolved
"My credit card was declined, what now?",order_status,negative,low,pending
"I received a wrong item, can I exchange it?",returns,positive,medium,unresolved
Do you offer discounts for students?,account_update,positive,medium,pending
How do I change my delivery address?,discount,neutral,high,unresolved
The internet connection is too slow.,billing,negative,low,unresolved
Do you offer discounts for students?,login_issue,positive,low,resolved
Can I upgrade my current subscription plan?,payment_issue,neutral,medium,pending
"My mobile app keeps crashing, can you fix it?",billing,neutral,high,resolved
"My mobile app keeps crashing, can you fix it?",subscription,positive,medium,unresolved
I need help updating my account details.,login_issue,neutral,medium,resolved
"My payment failed, what should I do?",upgrade,negative,low,resolved
The internet connection is too slow.,delivery,positive,low,unresolved
Can I upgrade my current subscription plan?,card_declined,positive,high,unresolved
I am unable to track my package.,upgrade,neutral,medium,pending
Why is my order status still pending?,delivery,negative,high,unresolved
I need help updating my account details.,wrong_item,neutral,low,resolved
"My credit card was declined, what now?",subscription,negative,medium,pending
My login credentials are not working.,order_issue,positive,high,resolved
I was charged incorrectly on my bill.,wrong_item,neutral,high,pending
Can I get a refund for my last purchase?,wrong_item,neutral,high,pending
"My payment failed, what should I do?",payment_issue,positive,low,pending
Can I get a refund for my last purchase?,technical_support,negative,low,pending
How do I return an item I purchased?,human_agent,positive,high,pending
"My payment failed, what should I do?",discount,positive,low,unresolved
"I received a wrong item, can I exchange it?",order_issue,neutral,high,resolved
Why is my order status still pending?,discount,neutral,high,resolved
I am unable to track my package.,service_issue,positive,low,resolved
My order has not arrived yet.,account_issue,positive,medium,resolved
My order has not arrived yet.,account_update,neutral,high,pending
Why is my order status still pending?,order_status,negative,low,unresolved
I am unable to track my package.,account_issue,negative,high,pending
Can I get a refund for my last purchase?,order_status,positive,high,unresolved
I need help updating my account details.,service_issue,positive,high,unresolved
My order has not arrived yet.,billing,negative,medium,pending
"I received a wrong item, can I exchange it?",billing,positive,low,unresolved
"I received a wrong item, can I exchange it?",billing,neutral,high,resolved
My order has not arrived yet.,billing,positive,high,resolved
Can I get a refund for my last purchase?,app_crash,neutral,medium,unresolved
